Date,Service,Admissions,Durée séjour (jours),Lits disponibles,Médecins,Infirmiers,Température (°C),Asthme (cas),Blessures (cas),Budget (euros),Stock Médicaments,Stock Consommables,Commandes Médicaments,Commandes Consommables,Capacité Max Médicaments,Capacité Max Consommables
2022-01-19,Orthopédie,15,3.27,20,10,24,6,0,0,44409,971,3898,0,0,1500,6000
2022-01-19,Pneumologie,25,3.48,0,9,26,5,3,0,31301,905,3813,0,0,1300,5000
2022-01-20,Orthopédie,12,2.21,45,13,24,2,0,8,46875,979,3940,0,0,1500,6000
2022-01-20,Pneumologie,27,4.04,0,11,22,4,5,0,35033,859,3626,230,2210,1300,5000
2022-01-21,Orthopédie,8,2.05,57,12,26,6,0,9,41886,992,3936,0,0,1500,6000
2022-01-21,Pneumologie,25,4.91,0,12,24,2,4,0,37250,880,3737,223,1674,1300,5000
2022-01-22,Orthopédie,11,3.97,33,12,22,3,0,6,48918,958,3848,0,0,1500,6000
2022-01-22,Pneumologie,23,3.18,0,13,26,7,4,0,31937,905,3795,0,1438,1300,5000
2022-01-23,Orthopédie,15,3.26,21,13,22,4,0,1,47546,974,3791,0,1575,1500,6000
2022-01-23,Pneumologie,23,3.64,0,9,25,5,3,0,31996,950,3773,0,1382,1300,5000
2022-01-24,Orthopédie,9,2.55,55,9,26,3,0,10,45544,969,3927,0,0,1500,6000
2022-01-24,Pneumologie,30,3.78,0,9,23,7,5,0,34474,874,3761,365,1511,1300,5000
2022-01-25,Orthopédie,16,2.04,42,13,25,5,0,9,44774,967,3895,0,0,1500,6000
2022-01-25,Pneumologie,26,4.62,5,10,25,3,4,0,37101,936,3520,0,1865,1300,5000
2022-01-26,Orthopédie,20,2.74,21,10,22,5,0,11,48882,934,3884,0,0,1500,6000
2022-01-26,Pneumologie,29,3.47,0,9,24,3,5,0,38914,855,3709,438,1976,1300,5000
2022-01-27,Orthopédie,6,3.49,52,12,26,3,0,9,42565,976,3954,0,0,1500,6000
2022-01-27,Pneumologie,25,4.73,0,11,25,5,4,0,36419,856,3573,364,1290,1300,5000
2022-01-28,Orthopédie,14,3.96,16,13,24,3,0,7,46092,931,3735,0,2453,1500,6000
2022-01-28,Pneumologie,30,3.5,0,10,25,4,5,0,32293,899,3486,478,1260,1300,5000
2022-01-29,Orthopédie,13,2.18,51,10,24,5,0,1,46299,980,3931,0,0,1500,6000
2022-01-29,Pneumologie,28,4.88,0,10,25,7,4,0,33828,893,3591,445,2134,1300,5000
2022-01-30,Orthopédie,11,2.85,44,10,23,4,0,3,44334,973,3858,0,0,1500,6000
2022-01-30,Pneumologie,22,4.6,0,11,25,5,3,0,38692,867,3573,421,1561,1300,5000
2022-01-31,Orthopédie,7,3.61,45,12,21,7,0,2,47069,977,3940,0,0,1500,6000
2022-01-31,Pneumologie,33,4.5,2,11,24,5,5,0,33576,797,3633,362,1322,1300,5000
2022-02-01,Orthopédie,10,2.58,50,10,21,4,0,6,47275,987,3946,0,0,1500,6000
2022-02-01,Pneumologie,29,4.64,3,9,24,9,5,0,37710,900,3650,0,1655,1300,5000
2022-02-02,Orthopédie,15,2.95,29,8,25,6,0,5,42977,938,3824,0,0,1500,6000
2022-02-02,Pneumologie,23,4.78,0,10,22,4,3,0,38329,904,3643,0,1240,1300,5000
2022-02-03,Orthopédie,16,3.77,10,12,24,8,0,4,44529,965,3877,0,0,1500,6000
2022-02-03,Pneumologie,23,3.85,0,12,24,6,4,0,33445,941,3778,0,1826,1300,5000
2022-02-04,Orthopédie,9,2.13,51,9,23,7,0,11,48172,982,3952,0,0,1500,6000
2022-02-04,Pneumologie,30,3.27,3,8,24,7,5,0,36940,871,3712,283,2457,1300,5000
2022-02-05,Orthopédie,9,3.94,42,10,23,6,0,8,41418,965,3864,0,0,1500,6000
2022-02-05,Pneumologie,24,3.77,1,8,21,9,4,0,32296,952,3744,0,2377,1300,5000
2022-02-06,Orthopédie,17,3.34,14,8,24,6,0,7,42651,916,3777,0,1189,1500,6000
2022-02-06,Pneumologie,17,4.48,4,9,21,4,2,0,32911,887,3839,222,0,1300,5000
2022-02-07,Orthopédie,18,2.8,21,11,23,5,0,7,45158,963,3890,0,0,1500,6000
2022-02-07,Pneumologie,21,4.35,4,9,23,9,3,0,36954,909,3547,0,1749,1300,5000
2022-02-08,Orthopédie,8,2.32,59,8,23,6,0,10,42324,983,3961,0,0,1500,6000
2022-02-08,Pneumologie,30,4.28,0,10,24,6,5,0,37698,897,3605,500,2394,1300,5000
2022-02-09,Orthopédie,8,3.2,46,9,24,8,0,9,41153,985,3900,0,0,1500,6000
2022-02-09,Pneumologie,16,4.42,4,11,25,5,2,0,33675,896,3700,211,2416,1300,5000
2022-02-10,Orthopédie,13,3.64,31,9,25,4,0,5,45995,933,3803,0,0,1500,6000
2022-02-10,Pneumologie,20,4.49,0,8,25,7,3,0,36118,954,3808,0,0,1300,5000
2022-02-11,Orthopédie,21,2.39,26,10,21,9,0,4,47345,933,3764,0,1157,1500,6000
2022-02-11,Pneumologie,28,3.92,0,10,21,5,4,0,37756,848,3500,415,1408,1300,5000
2022-02-12,Orthopédie,15,2.59,36,10,21,6,0,11,44448,965,3912,0,0,1500,6000
2022-02-12,Pneumologie,26,3.81,4,9,23,9,4,0,34625,919,3646,0,1501,1300,5000
2022-02-13,Orthopédie,10,3.82,34,10,22,4,0,9,47629,958,3868,0,0,1500,6000
2022-02-13,Pneumologie,19,4.85,0,8,23,4,3,0,31985,880,3605,320,1326,1300,5000
2022-02-14,Orthopédie,18,3.52,15,11,24,8,0,10,47089,943,3713,0,2032,1500,6000
2022-02-14,Pneumologie,24,3.9,0,10,23,8,4,0,38275,926,3719,0,1876,1300,5000
2022-02-15,Orthopédie,11,3.44,40,10,24,5,0,10,45277,960,3838,0,0,1500,6000
2022-02-15,Pneumologie,29,4.44,0,8,21,4,5,0,36746,898,3737,423,2192,1300,5000
2022-02-16,Orthopédie,13,2.54,41,12,21,5,0,10,45034,955,3915,0,0,1500,6000
2022-02-16,Pneumologie,22,3.08,0,10,21,5,4,0,33254,928,3806,0,0,1300,5000
2022-02-17,Orthopédie,8,3.14,44,8,25,9,0,4,42827,985,3880,0,0,1500,6000
2022-02-17,Pneumologie,27,4.79,0,8,22,6,4,0,34806,881,3489,294,1594,1300,5000
2022-02-18,Orthopédie,14,2.43,36,12,24,9,0,8,48482,973,3927,0,0,1500,6000
2022-02-18,Pneumologie,20,4.38,0,10,24,9,3,0,33062,930,3657,0,1086,1300,5000
2022-02-19,Orthopédie,13,3.88,19,11,23,7,0,11,44292,973,3818,0,0,1500,6000
2022-02-19,Pneumologie,18,4.38,1,8,24,4,3,0,37539,954,3757,0,1437,1300,5000
2022-02-20,Orthopédie,8,3.95,48,10,21,9,0,7,48609,956,3892,0,0,1500,6000
2022-02-20,Pneumologie,25,3.78,0,9,24,5,4,0,31282,942,3762,0,1977,1300,5000
2022-02-21,Orthopédie,13,3.51,27,12,21,4,0,6,46675,972,3817,0,0,1500,6000
2022-02-21,Pneumologie,24,4.8,2,12,22,4,3,0,34238,922,3452,0,1037,1300,5000
2022-02-22,Orthopédie,11,3.31,39,10,21,8,0,7,46522,951,3905,0,0,1500,6000
2022-02-22,Pneumologie,13,4.11,19,9,22,6,2,0,33622,965,3789,0,2482,1300,5000
2022-02-23,Orthopédie,18,2.29,38,10,23,8,0,6,42905,947,3905,0,0,1500,6000
2022-02-23,Pneumologie,28,4.82,0,9,21,7,4,0,33348,932,3525,0,1377,1300,5000
2022-02-24,Orthopédie,11,3.98,27,12,21,6,0,12,46934,970,3858,0,0,1500,6000
2022-02-24,Pneumologie,17,4.54,4,11,21,9,3,0,36362,958,3800,0,0,1300,5000
2022-02-25,Orthopédie,22,3.16,2,11,23,4,0,3,46792,941,3711,0,1839,1500,6000
2022-02-25,Pneumologie,24,4.47,0,10,24,8,3,0,34512,921,3505,0,1384,1300,5000
2022-02-26,Orthopédie,16,2.14,43,11,23,5,0,13,45094,973,3831,0,0,1500,6000
2022-02-26,Pneumologie,24,3.56,4,11,21,5,4,0,34823,900,3584,0,1013,1300,5000
2022-02-27,Orthopédie,17,3.86,11,8,24,4,0,3,48726,955,3810,0,0,1500,6000
2022-02-27,Pneumologie,15,3.6,15,9,22,8,2,0,32150,960,3747,0,1894,1300,5000
2022-02-28,Orthopédie,16,3.9,10,11,25,7,0,3,43954,912,3747,0,1105,1500,6000
2022-02-28,Pneumologie,24,3.37,1,10,25,5,4,0,34806,909,3828,0,0,1300,5000
2022-03-01,Orthopédie,17,3.27,17,9,25,12,0,8,41335,967,3737,0,1926,1500,6000
2022-03-01,Pneumologie,27,3.78,4,10,21,10,4,0,36382,949,3645,0,1599,1300,5000
2022-03-02,Orthopédie,15,3.97,13,11,23,9,0,8,48185,958,3803,0,0,1500,6000
2022-03-02,Pneumologie,15,4.8,3,8,21,11,2,0,36661,961,3795,0,1120,1300,5000
2022-03-03,Orthopédie,20,2.29,24,11,21,8,0,12,46371,946,3888,0,0,1500,6000
2022-03-03,Pneumologie,14,3.87,12,9,25,8,2,0,36837,928,3824,0,0,1300,5000
2022-03-04,Orthopédie,8,2.28,53,8,22,8,0,6,45505,978,3963,0,0,1500,6000
2022-03-04,Pneumologie,18,3.32,14,10,23,7,3,0,33915,929,3821,0,0,1300,5000
2022-03-05,Orthopédie,13,2.25,40,12,23,12,0,11,48259,958,3861,0,0,1500,6000
2022-03-05,Pneumologie,18,4.23,0,10,22,9,3,0,31886,896,3832,499,0,1300,5000
2022-03-06,Orthopédie,15,3.37,27,12,22,8,0,11,41423,972,3750,0,1312,1500,6000
2022-03-06,Pneumologie,22,4.56,2,9,24,8,3,0,37366,933,3701,0,1254,1300,5000
2022-03-07,Orthopédie,16,2.89,26,10,21,12,0,12,45955,944,3848,0,0,1500,6000
2022-03-07,Pneumologie,15,3.46,23,8,25,8,2,0,33416,925,3772,0,1044,1300,5000
2022-03-08,Orthopédie,11,2.7,42,12,23,8,0,15,46537,972,3855,0,0,1500,6000
2022-03-08,Pneumologie,17,3.43,6,11,25,8,2,0,37526,940,3764,0,2052,1300,5000
2022-03-09,Orthopédie,17,3.63,12,12,22,7,0,13,43144,931,3751,0,1397,1500,6000
2022-03-09,Pneumologie,19,4.15,2,10,22,9,3,0,34750,906,3650,0,2007,1300,5000
2022-03-10,Orthopédie,13,3.58,27,10,24,12,0,6,45692,967,3904,0,0,1500,6000
2022-03-10,Pneumologie,25,3.13,0,11,23,7,4,0,31618,913,3687,0,1894,1300,5000
2022-03-11,Orthopédie,16,3.97,12,11,21,7,0,6,44547,941,3699,0,1518,1500,6000
2022-03-11,Pneumologie,17,3.2,20,10,25,7,3,0,38638,965,3841,0,0,1300,5000
2022-03-12,Orthopédie,18,2.62,28,11,21,8,0,7,44256,963,3814,0,0,1500,6000
2022-03-12,Pneumologie,18,3.23,6,9,24,7,3,0,34859,921,3795,0,2296,1300,5000
2022-03-13,Orthopédie,14,2.22,47,11,23,7,0,7,45743,959,3910,0,0,1500,6000
2022-03-13,Pneumologie,18,3.56,2,9,25,8,2,0,31607,925,3851,0,0,1300,5000
2022-03-14,Orthopédie,19,3.61,6,9,22,12,0,14,45781,928,3758,0,2217,1500,6000
2022-03-14,Pneumologie,26,3.07,0,10,22,9,4,0,38130,932,3687,0,1404,1300,5000
2022-03-15,Orthopédie,14,2.44,38,9,25,11,0,11,43740,969,3906,0,0,1500,6000
2022-03-15,Pneumologie,20,4.82,1,12,22,11,3,0,33112,892,3636,365,2438,1300,5000
2022-03-16,Orthopédie,14,2.48,40,12,25,10,0,11,41616,949,3871,0,0,1500,6000
2022-03-16,Pneumologie,19,4.95,0,12,25,8,3,0,31429,866,3543,359,1911,1300,5000
2022-03-17,Orthopédie,21,3.21,6,12,24,8,0,7,47689,902,3714,0,2121,1500,6000
2022-03-17,Pneumologie,13,4.8,10,9,23,8,2,0,32306,934,3817,0,0,1300,5000
2022-03-18,Orthopédie,19,2.61,22,9,21,8,0,13,44701,955,3814,0,0,1500,6000
2022-03-18,Pneumologie,24,4.12,0,8,22,8,3,0,31532,892,3704,362,2228,1300,5000
2022-03-19,Orthopédie,13,3.5,25,11,25,10,0,15,47308,958,3885,0,0,1500,6000
2022-03-19,Pneumologie,26,4.84,3,12,24,12,5,0,34952,876,3721,239,1371,1300,5000
2022-03-20,Orthopédie,12,2.59,44,8,23,9,0,8,45621,959,3907,0,0,1500,6000
2022-03-20,Pneumologie,21,4.07,5,8,23,12,3,0,33621,921,3712,0,1200,1300,5000
2022-03-21,Orthopédie,19,3.52,8,11,24,8,0,8,45544,905,3696,0,1550,1500,6000
2022-03-21,Pneumologie,22,4.1,0,8,23,9,4,0,34979,903,3714,0,2432,1300,5000
2022-03-22,Orthopédie,21,2.73,13,12,24,8,0,9,42506,939,3879,0,0,1500,6000
2022-03-22,Pneumologie,19,4.6,2,8,21,10,2,0,36511,928,3677,0,2102,1300,5000
2022-03-23,Orthopédie,14,2.41,41,12,21,9,0,10,47493,963,3895,0,0,1500,6000
2022-03-23,Pneumologie,17,3.82,9,10,22,12,3,0,32020,916,3676,0,1339,1300,5000
2022-03-24,Orthopédie,20,2.96,12,8,21,10,0,18,43333,944,3825,0,0,1500,6000
2022-03-24,Pneumologie,28,3.77,4,8,24,12,5,0,32187,928,3500,0,2036,1300,5000
2022-03-25,Orthopédie,16,3.83,12,10,23,7,0,18,46964,955,3783,0,2375,1500,6000
2022-03-25,Pneumologie,24,3.82,4,10,24,12,3,0,31419,936,3630,0,1369,1300,5000
2022-03-26,Orthopédie,24,2.79,7,12,22,10,0,10,42986,926,3814,0,0,1500,6000
2022-03-26,Pneumologie,25,3.05,3,11,23,12,4,0,37977,902,3730,0,2248,1300,5000
2022-03-27,Orthopédie,19,3.47,8,8,21,11,0,13,47162,956,3699,0,2116,1500,6000
2022-03-27,Pneumologie,19,3.18,12,12,21,10,3,0,34990,959,3740,0,1197,1300,5000
2022-03-28,Orthopédie,18,2.58,26,8,25,10,0,13,41185,959,3772,0,2283,1500,6000
2022-03-28,Pneumologie,21,3.31,3,11,22,11,4,0,37797,949,3776,0,2293,1300,5000
2022-03-29,Orthopédie,24,3.76,1,12,24,12,0,13,42405,924,3726,0,1535,1500,6000
2022-03-29,Pneumologie,27,4.24,5,8,22,8,4,0,37744,936,3666,0,1124,1300,5000
2022-03-30,Orthopédie,16,2.98,25,12,25,11,0,9,44317,954,3796,0,1417,1500,6000
2022-03-30,Pneumologie,26,3.52,2,12,24,9,4,0,34806,905,3584,0,2363,1300,5000
2022-03-31,Orthopédie,20,2.23,35,10,23,11,0,15,46898,966,3867,0,0,1500,6000
2022-03-31,Pneumologie,23,3.66,2,12,21,9,4,0,38641,883,3825,303,0,1300,5000
2022-04-01,Orthopédie,18,2.97,16,9,21,16,0,19,45510,934,3800,0,0,1500,6000
2022-04-01,Pneumologie,21,3.48,4,8,21,13,3,0,33928,945,3805,0,0,1300,5000
2022-04-02,Orthopédie,14,3.82,23,12,25,16,0,13,42618,948,3860,0,0,1500,6000
2022-04-02,Pneumologie,30,3.01,0,10,23,14,5,0,35456,924,3665,0,1667,1300,5000
2022-04-03,Orthopédie,18,2.16,33,12,23,15,0,17,47596,976,3868,0,0,1500,6000
2022-04-03,Pneumologie,19,3.59,0,8,21,16,3,0,32450,918,3760,0,1194,1300,5000
2022-04-04,Orthopédie,21,3.69,4,10,21,14,0,16,41463,958,3788,0,1340,1500,6000
2022-04-04,Pneumologie,21,4.49,3,11,22,14,3,0,38481,867,3657,324,1669,1300,5000
2022-04-05,Orthopédie,16,2.34,36,11,21,17,0,17,48848,948,3844,0,0,1500,6000
2022-04-05,Pneumologie,33,3.42,3,12,25,12,5,0,38407,940,3528,0,2052,1300,5000
2022-04-06,Orthopédie,19,3.47,12,8,22,12,0,12,46507,923,3769,0,1277,1500,6000
2022-04-06,Pneumologie,23,3.54,0,11,24,12,4,0,31957,919,3630,0,2288,1300,5000
2022-04-07,Orthopédie,22,3.42,0,10,25,14,0,20,43617,899,3669,311,2312,1500,6000
2022-04-07,Pneumologie,28,4.25,0,8,22,13,4,0,37736,849,3755,209,1559,1300,5000
2022-04-08,Orthopédie,17,3.95,11,12,24,13,0,19,48581,947,3683,0,2460,1500,6000
2022-04-08,Pneumologie,32,3.97,5,10,22,14,4,0,34116,835,3674,363,2314,1300,5000
2022-04-09,Orthopédie,24,3.38,0,11,25,16,0,22,47090,951,3610,0,2255,1500,6000
2022-04-09,Pneumologie,28,3.69,2,11,22,15,5,0,37432,847,3714,417,1126,1300,5000
2022-04-10,Orthopédie,19,2.75,22,10,21,12,0,19,48628,945,3761,0,2255,1500,6000
2022-04-10,Pneumologie,28,3.85,0,12,22,13,5,0,36272,895,3713,294,1535,1300,5000
2022-04-11,Orthopédie,26,3.93,5,12,23,12,0,13,43642,922,3597,0,1910,1500,6000
2022-04-11,Pneumologie,29,3.38,5,10,25,12,4,0,37945,873,3770,413,2154,1300,5000
2022-04-12,Orthopédie,19,3.47,9,12,25,16,0,21,44796,955,3682,0,1841,1500,6000
2022-04-12,Pneumologie,24,4.21,0,12,25,12,3,0,31621,948,3622,0,1319,1300,5000
2022-04-13,Orthopédie,25,3.61,4,8,24,17,0,13,48876,925,3750,0,2371,1500,6000
2022-04-13,Pneumologie,31,4.9,0,10,22,14,5,0,38071,886,3280,449,1431,1300,5000
2022-04-14,Orthopédie,20,2.14,36,11,22,15,0,19,47423,974,3824,0,0,1500,6000
2022-04-14,Pneumologie,28,4.5,1,12,25,14,5,0,34648,869,3428,404,2215,1300,5000
2022-04-15,Orthopédie,20,2.53,28,8,24,16,0,16,43250,940,3844,0,0,1500,6000
2022-04-15,Pneumologie,34,4.87,1,11,21,13,6,0,32211,767,3412,477,1090,1300,5000
2022-04-16,Orthopédie,28,3.69,0,9,24,13,0,23,48959,906,3613,0,1721,1500,6000
2022-04-16,Pneumologie,31,4.84,0,12,22,14,5,0,35148,883,3317,251,2025,1300,5000
2022-04-17,Orthopédie,28,3.86,1,9,22,13,0,20,41681,917,3681,0,1811,1500,6000
2022-04-17,Pneumologie,27,3.61,4,10,25,12,4,0,38113,947,3556,0,2176,1300,5000
2022-04-18,Orthopédie,16,2.27,42,9,23,15,0,24,45886,954,3874,0,0,1500,6000
2022-04-18,Pneumologie,27,3.21,0,12,25,14,5,0,31350,925,3687,0,2111,1300,5000
2022-04-19,Orthopédie,23,2.45,14,8,24,13,0,22,44481,922,3870,0,0,1500,6000
2022-04-19,Pneumologie,27,4.56,4,11,24,16,4,0,34127,901,3711,0,1730,1300,5000
2022-04-20,Orthopédie,23,3.17,3,12,21,12,0,15,45759,906,3649,0,1569,1500,6000
2022-04-20,Pneumologie,36,4.09,0,11,24,14,6,0,33469,903,3691,0,1134,1300,5000
2022-04-21,Orthopédie,29,3.66,4,8,24,12,0,23,47288,844,3546,232,1212,1500,6000
2022-04-21,Pneumologie,34,4.7,0,8,25,17,5,0,34907,801,3643,357,2107,1300,5000
2022-04-22,Orthopédie,26,2.89,0,10,25,17,0,19,41182,902,3788,0,1430,1500,6000
2022-04-22,Pneumologie,33,4.72,0,11,24,14,5,0,32533,871,3683,448,1863,1300,5000
2022-04-23,Orthopédie,25,3.7,0,12,25,13,0,25,44230,933,3586,0,1882,1500,6000
2022-04-23,Pneumologie,31,3.4,0,11,25,17,5,0,32103,926,3559,0,2087,1300,5000
2022-04-24,Orthopédie,26,3.76,0,10,22,15,0,16,45080,926,3686,0,2267,1500,6000
2022-04-24,Pneumologie,24,3.86,4,12,22,16,3,0,37139,907,3595,0,1211,1300,5000
2022-04-25,Orthopédie,17,3.78,13,8,24,17,0,20,43403,942,3684,0,2419,1500,6000
2022-04-25,Pneumologie,33,3.75,0,10,23,15,5,0,37321,831,3703,269,2017,1300,5000
2022-04-26,Orthopédie,17,3.11,27,8,25,12,0,26,45041,958,3794,0,1198,1500,6000
2022-04-26,Pneumologie,34,4.52,3,8,24,17,6,0,38622,841,3678,304,1275,1300,5000
2022-04-27,Orthopédie,31,2.2,10,9,22,17,0,22,47962,904,3714,0,1999,1500,6000
2022-04-27,Pneumologie,34,3.93,0,11,23,16,5,0,36467,878,3346,457,1991,1300,5000
2022-04-28,Orthopédie,25,3.53,1,8,21,16,0,23,47837,925,3738,0,1810,1500,6000
2022-04-28,Pneumologie,30,4.89,0,10,24,13,5,0,31262,858,3654,298,2498,1300,5000
2022-04-29,Orthopédie,25,2.45,12,11,25,14,0,19,41529,931,3784,0,1345,1500,6000
2022-04-29,Pneumologie,33,4.81,3,12,25,17,5,0,34964,794,3304,339,1729,1300,5000
2022-04-30,Orthopédie,22,3.76,0,8,24,16,0,27,48435,928,3828,0,0,1500,6000
2022-04-30,Pneumologie,30,3.21,2,10,24,15,5,0,31990,931,3542,0,2392,1300,5000
2022-05-01,Orthopédie,31,2.66,0,12,24,16,0,20,45314,934,3631,0,1299,1500,6000
2022-05-01,Pneumologie,33,4.76,0,8,24,20,5,0,34546,911,3589,0,2469,1300,5000
2022-05-02,Orthopédie,21,3.73,4,12,25,17,0,28,42207,940,3690,0,1399,1500,6000
2022-05-02,Pneumologie,27,3.64,0,11,21,16,5,0,35240,892,3730,354,1943,1300,5000
2022-05-03,Orthopédie,21,3.24,6,10,22,18,0,26,48611,923,3822,0,0,1500,6000
2022-05-03,Pneumologie,30,4.72,3,11,22,16,5,0,36572,856,3604,489,2251,1300,5000
2022-05-04,Orthopédie,27,3.52,4,11,22,18,0,25,48199,872,3730,279,1448,1500,6000
2022-05-04,Pneumologie,34,4.83,4,12,23,16,5,0,35994,810,3186,330,2146,1300,5000
2022-05-05,Orthopédie,29,3.85,0,12,22,15,0,22,48312,863,3596,262,2447,1500,6000
2022-05-05,Pneumologie,27,4.92,3,10,24,20,5,0,38917,866,3569,227,1228,1300,5000
2022-05-06,Orthopédie,29,2.31,5,8,23,19,0,25,41185,939,3850,0,0,1500,6000
2022-05-06,Pneumologie,36,4.81,0,12,22,20,7,0,34668,864,3613,366,1987,1300,5000
2022-05-07,Orthopédie,22,2.75,17,9,21,17,0,22,45699,933,3771,0,1210,1500,6000
2022-05-07,Pneumologie,28,3.52,0,11,25,17,4,0,36935,903,3654,0,1771,1300,5000
2022-05-08,Orthopédie,19,3.75,1,11,23,18,0,24,46076,927,3655,0,2362,1500,6000
2022-05-08,Pneumologie,32,4.21,0,11,23,19,5,0,38640,865,3711,258,2423,1300,5000
2022-05-09,Orthopédie,23,2.39,19,12,25,17,0,21,45005,954,3806,0,0,1500,6000
2022-05-09,Pneumologie,35,4.53,0,10,24,19,5,0,36719,885,3400,231,2286,1300,5000
2022-05-10,Orthopédie,32,3.25,0,8,21,20,0,28,43653,854,3672,260,1267,1500,6000
2022-05-10,Pneumologie,32,4.78,0,9,21,20,6,0,35398,773,3416,217,1059,1300,5000
2022-05-11,Orthopédie,23,2.34,25,10,25,18,0,24,41271,938,3795,0,1990,1500,6000
2022-05-11,Pneumologie,25,3.97,0,10,25,19,4,0,31130,877,3729,268,1665,1300,5000
2022-05-12,Orthopédie,28,3.55,1,10,21,16,0,25,45230,874,3667,475,1171,1500,6000
2022-05-12,Pneumologie,33,4.82,0,8,21,17,6,0,35280,798,3559,279,2062,1300,5000
2022-05-13,Orthopédie,23,2.35,24,12,22,15,0,32,41904,948,3775,0,2283,1500,6000
2022-05-13,Pneumologie,31,4.91,4,8,25,19,5,0,32484,895,3609,335,1934,1300,5000
2022-05-14,Orthopédie,20,3.92,2,12,25,19,0,24,44146,895,3829,321,0,1500,6000
2022-05-14,Pneumologie,26,4.94,0,8,21,18,4,0,36782,888,3555,408,1983,1300,5000
2022-05-15,Orthopédie,34,2.48,0,10,25,16,0,27,42679,948,3600,0,1167,1500,6000
2022-05-15,Pneumologie,28,4.26,0,10,21,19,4,0,37991,822,3610,435,1995,1300,5000
2022-05-16,Orthopédie,24,2.03,25,12,25,16,0,23,42509,947,3882,0,0,1500,6000
